id,title,country_name,country_code,experience_group,is_remote,is_full_time,is_part_time,is_contractor,is_internship,skills_count,posted_at_datetime_utc
hDcRNAz4ev12li_ZAAAAAA==,data analyst,USA,us,mid_plus,False,1,0,0,0,16,2026-02-12 00:00:00+00:00
YBGg4U6cLzfYcc2VAAAAAA==,entry level human resources & data analyst,USA,us,junior,False,0,0,1,0,0,2026-02-17 17:00:00+00:00
wyxH_fGPJReWty01AAAAAA==,"associate data analyst, dx research",USA,us,mid_plus,True,1,0,0,0,4,2026-02-14 00:00:00+00:00
GfD-wE5qzfVrU4rkAAAAAA==,data analyst i - artificial intelligence & human health,USA,us,mid_plus,False,1,0,0,0,4,2026-02-08 00:00:00+00:00
0XEjS66pv9q6bLyWAAAAAA==,data analyst tc - data and analytics - dae - fso - senior manager - multiple positions - 1684076,USA,us,mid_plus,False,1,0,0,0,14,2026-02-09 00:00:00+00:00
qpM3ss3WTJDnKBoqAAAAAA==,"data analyst - cas, office of academic affairs",USA,us,mid_plus,False,1,0,0,0,3,2026-02-12 00:00:00+00:00
_4upS-ckj2hg-CkMAAAAAA==,"data analyst, 4+ years of experience",USA,us,mid_plus,False,1,0,0,0,7,2026-01-27 00:00:00+00:00
i82TSy8Fa0xJe1wzAAAAAA==,"data analyst, business support associate",USA,us,mid_plus,False,1,0,0,0,0,2026-01-22 00:00:00+00:00
j48AfsSU-pujkIrLAAAAAA==,data analyst (remote),USA,us,mid_plus,False,1,0,0,0,5,2026-01-19 00:00:00+00:00
y0tzdBQNCEXyg404AAAAAA==,senior medical data analyst,USA,us,mid_plus,False,1,0,0,0,0,2026-02-12 00:00:00+00:00
BRw9BX5QAW3zmaNOAAAAAA==,senior data analyst (product & engineering),USA,us,mid_plus,False,1,0,0,0,7,2026-02-02 00:00:00+00:00
q0MZ5DWv2aQZU793AAAAAA==,"business data and reporting analyst, level 2 (provisional) - human resources",USA,us,mid_plus,False,1,1,0,0,2,2026-02-11 00:00:00+00:00
QG2tBh5OaoWwW7zVAAAAAA==,shopper insights data and analytics manager,USA,us,mid_plus,False,1,0,0,0,4,2026-01-29 00:00:00+00:00
vxbWeAFR_Q66KENnAAAAAA==,wic data analyst,USA,us,mid_plus,False,1,0,0,0,0,2026-02-13 00:00:00+00:00
Aa3AZ_LPmzpT8fgFAAAAAA==,"senior data analyst, data platforms & access - digital",USA,us,mid_plus,False,1,0,0,0,8,2026-02-06 00:00:00+00:00
zuqAhKyYS84ieOx8AAAAAA==,lead data analyst consultant,USA,us,mid_plus,False,1,0,0,0,10,2026-02-10 00:00:00+00:00
SiZQ8AdiW0S0jVtVAAAAAA==,"safe online data analyst and reports writer, evac - safe online, nyhq, remote. req",USA,us,mid_plus,True,1,0,0,0,0,2026-02-01 00:00:00+00:00
W8zWPJC_90jFQ3D_AAAAAA==,"data analyst, people analytics",USA,us,mid_plus,False,1,0,0,0,4,2026-02-03 00:00:00+00:00
D_Mv7Tv4v9ICu7fEAAAAAA==,"data analyst, compliance",USA,us,mid_plus,False,1,0,0,0,3,2026-02-12 00:00:00+00:00
qCyJae6F7vr26gvWAAAAAA==,数据分析师2,USA,us,mid_plus,False,1,0,0,0,2,2026-02-09 00:00:00+00:00
5TeIVgVkngKgNJZQAAAAAA==,blockchain data analyst on-chain insights & dashboards,USA,us,mid_plus,False,1,0,0,0,3,2026-02-13 00:00:00+00:00
5xgs_BD-LVDIOsUtAAAAAA==,senior data analyst - performance partnership - usa remote,USA,us,mid_plus,False,1,0,0,0,6,2026-02-09 00:00:00+00:00
STTNXaosCq6u_ozXAAAAAA==,equity data analyst - trading firm in midtown,USA,us,mid_plus,False,1,0,0,0,2,2026-01-26 00:00:00+00:00
C4fmJYws6WzgQrVfAAAAAA==,"usa cib senior data analyst, financial planning & analysis, associate",USA,us,mid_plus,False,1,0,0,0,8,2026-02-13 00:00:00+00:00
9PHm8q0rfeyt3Nn9AAAAAA==,treasury analyst-data analytics-hybrid schedule,USA,us,mid_plus,False,1,0,0,0,1,2026-01-28 00:00:00+00:00
yDDmsfTOYvoLd0YlAAAAAA==,data consultant - junior (new),USA,us,junior,False,1,0,0,0,5,2026-02-02 00:00:00+00:00
