skill_name,count,share,skill
skill_sql,628.0,55.18453427065027,sql
skill_python,413.0,36.291739894551846,python
skill_excel,409.0,35.9402460456942,excel
skill_dashboards,394.0,34.62214411247803,dashboards
skill_power_bi,357.0,31.370826010544818,power_bi
skill_statistics,316.0,27.768014059753952,statistics
skill_tableau,288.0,25.30755711775044,tableau
skill_data_visualization,266.0,23.374340949033392,data_visualization
skill_r,195.0,17.135325131810195,r
skill_data_pipeline,122.0,10.720562390158172,data_pipeline
skill_etl,95.0,8.347978910369068,etl
skill_snowflake,90.0,7.9086115992970125,snowflake
skill_looker,71.0,6.239015817223199,looker
skill_spark,51.0,4.481546572934974,spark
skill_experimentation,48.0,4.21792618629174,experimentation
skill_oracle,48.0,4.21792618629174,oracle
skill_databricks,47.0,4.130052724077329,databricks
skill_sql_server,45.0,3.9543057996485063,sql_server
skill_dbt,42.0,3.690685413005272,dbt
skill_a_b_testing,42.0,3.690685413005272,a_b_testing
skill_data_cleaning,39.0,3.427065026362039,data_cleaning
skill_bigquery,29.0,2.5483304042179262,bigquery
skill_redshift,24.0,2.10896309314587,redshift
skill_google_sheets,22.0,1.9332161687170473,google_sheets
skill_synapse,18.0,1.5817223198594026,synapse
skill_qlik,16.0,1.4059753954305798,qlik
skill_hadoop,15.0,1.3181019332161688,hadoop
skill_informatica,13.0,1.1423550087873462,informatica
skill_postgresql,11.0,0.9666080843585236,postgresql
skill_airflow,9.0,0.7908611599297013,airflow
skill_hypothesis_testing,8.0,0.7029876977152899,hypothesis_testing
skill_kafka,8.0,0.7029876977152899,kafka
skill_mysql,8.0,0.7029876977152899,mysql
skill_copilot,5.0,0.4393673110720563,copilot
skill_superset,4.0,0.35149384885764495,superset
skill_claude,2.0,0.17574692442882248,claude
skill_chatgpt,2.0,0.17574692442882248,chatgpt
skill_talend,2.0,0.17574692442882248,talend
skill_vertica,2.0,0.17574692442882248,vertica
skill_gemini,1.0,0.08787346221441124,gemini
skill_cursor,0.0,0.0,cursor
skill_datalens,0.0,0.0,datalens
skill_clickhouse,0.0,0.0,clickhouse
